,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
221,TWG,Top Wealth Group Holding Limited,8.23M,-3.48%,895287,4.75M
222,SOWG,Sow Good Inc.,8.20M,-4.25%,45399,23.06M
223,AMBO,Ambow Education Holding Ltd.,8.14M,0.71%,5159,9.39M
224,GV,Visionary Holdings Inc.,7.86M,-4.50%,119182,7.77M
225,SDOT,Sadot Group Inc.,7.70M,3.68%,89185,726.60M
226,KAVL,"Kaival Brands Innovations Group, Inc.",6.91M,-1.16%,19440,3.88M
227,XXII,"22nd Century Group, Inc.",6.68M,-7.77%,348417,23.87M
228,GSUN,Golden Sun Health Technology Group Limited,6.64M,1.49%,17,10.16M
229,WAFU,Wah Fu Education Group Limited,6.40M,-0.68%,5944,6.37M
230,EDBL,Edible Garden AG Incorporated,6.32M,-2.30%,3463240,13.44M
231,SBEV,"Splash Beverage Group, Inc.",6.14M,10.86%,212461,6.26M
232,RKDA,"Arcadia Biosciences, Inc.",5.85M,2.39%,3625,5.26M
233,IBG,Innovation Beverage Group Limited,5.64M,-5.62%,42098,2.93M
234,CLEU,China Liberal Education Holdings Limited,4.61M,-3.52%,30970,2.41M
235,CASK,"Heritage Distilling Holding Company, Inc.",4.40M,1.87%,154423,7.57M
236,AQB,"AquaBounty Technologies, Inc.",3.28M,0.26%,38006,1.26M
237,TANH,Tantech Holdings Ltd,2.92M,-0.23%,39424,42.94M
238,AGRI,AgriFORCE Growing Systems Ltd.,2.66M,-,161934,412.30K
239,XAGE,"Longevity Health Holdings, Inc.",2.39M,-31.01%,508625,560.67K
240,FAMI,"Farmmi, Inc.",2.21M,3.21%,39769,64.13M
241,YHC,LQR House Inc.,1.40M,-4.35%,153075,2.45M
242,STKH,Steakholder Foods Ltd.,1.01M,-1.83%,106570,10.00K
243,GNLN,"Greenlane Holdings, Inc.",50.72K,-3.23%,88206356,9.82M
