,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
651,JMSB,"John Marshall Bancorp, Inc.",246.00M,-0.52%,16204,54.78M
652,NTWO,Newbury Street II Acquisition Corp,245.02M,-,29,-
653,WSBF,"Waterstone Financial, Inc.",240.73M,-,37352,133.55M
654,TVAI,Thayer Ventures Acquisition Corporation II,239.33M,0.40%,426,-
655,TSBK,"Timberland Bancorp, Inc.",239.01M,-1.28%,8433,76.81M
656,KINS,"Kingstone Companies, Inc.",237.12M,8.32%,520061,169.88M
657,MBCN,Middlefield Banc Corp.,235.00M,-0.45%,6054,66.93M
658,NWFL,Norwood Financial Corp.,234.13M,-0.94%,7911,50.38M
659,LIEN,"Chicago Atlantic BDC, Inc.",232.08M,-1.45%,44831,30.83M
660,RAAQ,Real Asset Acquisition Corp.,231.84M,-,51191,-
661,OPRT,Oportun Financial Corporation,230.63M,-3.91%,264964,746.10M
662,HMST,"HomeStreet, Inc.",230.08M,0.25%,60506,78.45M
663,LPRO,Open Lending Corporation,229.99M,-2.05%,967119,17.67M
664,FRST,Primis Financial Corp.,229.43M,-0.32%,75454,125.13M
665,SNFCA,Security National Financial Corporation,229.04M,-0.10%,18980,336.07M
666,PKBK,"Parke Bancorp, Inc.",228.93M,-1.18%,13465,64.21M
667,COPL,Copley Acquisition Corp,228.63M,0.10%,624,-
668,FDBC,"Fidelity D & D Bancorp, Inc.",227.12M,-2.21%,5116,81.32M
669,TDAC,Translational Development Acquisition Corp.,226.52M,-,30,-
670,PMTS,CPI Card Group Inc.,225.40M,-0.95%,142133,491.43M
671,FLD,"Fold Holdings, Inc.",224.03M,7.33%,855620,2.05M
672,CHMG,Chemung Financial Corporation,223.85M,-0.64%,6205,96.16M
673,MACI,Melar Acquisition Corp. I,223.78M,-,21,-
674,DYNX,Dynamix Corporation,222.44M,-,22,-
675,PWOD,"Penns Woods Bancorp, Inc.",222.26M,-1.02%,12723,73.98M
676,FOA,Finance of America Companies Inc.,220.87M,-3.19%,64632,429.18M
677,MBI,MBIA Inc.,219.11M,2.84%,128864,37.00M
678,SVCC,Stellar V Capital Corp.,218.09M,-,25000,-
679,CFFI,C&F Financial Corporation,210.59M,-1.81%,6145,116.42M
680,BTM,Bitcoin Depot Inc.,209.96M,-4.84%,3205933,599.39M
681,EARN,Ellington Credit Company,209.58M,0.72%,354768,34.56M
682,BPRN,"Princeton Bancorp, Inc.",209.54M,-0.85%,4251,73.01M
683,WHF,"WhiteHorse Finance, Inc.",209.42M,1.35%,37801,86.14M
684,MFIN,Medallion Financial Corp.,207.53M,-2.23%,18107,316.75M
685,EGHA,EGH Acquisition Corp.,207.05M,0.10%,321,-
686,FBLA,"FB Bancorp, Inc.",206.03M,-0.62%,59398,66.41M
687,FVCB,"FVCBankcorp, Inc.",205.64M,-0.61%,122351,60.45M
688,MYFW,"First Western Financial, Inc.",205.48M,-0.42%,13793,91.51M
689,HWBK,"Hawthorn Bancshares, Inc.",205.34M,-2.15%,7277,72.98M
690,ISBA,Isabella Bank Corporation,205.23M,0.14%,9612,70.31M
691,INBK,First Internet Bancorp,205.16M,0.34%,47011,114.61M
692,GSHR,Gesher Acquisition Corp. II,205.07M,-1.08%,219,-
693,LCNB,LCNB Corp.,204.86M,-1.46%,13516,82.86M
694,OVLY,Oak Valley Bancorp,203.92M,-0.48%,7949,78.87M
695,OPOF,Old Point Financial Corporation,199.15M,-0.99%,13425,61.37M
696,VABK,Virginia National Bankshares Corporation,199.02M,0.85%,4501,54.95M
697,BSII,Black Spade Acquisition II Co,197.37M,-0.39%,32146,-
698,IPOD,Dune Acquisition Corporation II,195.11M,0.20%,618,-
699,FUNC,First United Corporation,193.97M,-1.26%,17706,79.40M
700,BETR,Better Home & Finance Holding Company,193.40M,-0.19%,50061,118.79M
701,CIA,"Citizens, Inc.",193.08M,2.67%,140643,242.94M
702,FINW,FinWise Bancorp,190.92M,-1.09%,14613,72.06M
703,CPSS,"Consumer Portfolio Services, Inc.",189.08M,-2.45%,8017,188.78M
704,SAMG,Silvercrest Asset Management Group Inc.,188.54M,-2.02%,35332,124.77M
705,WNEB,"Western New England Bancorp, Inc.",185.71M,-0.11%,45784,72.97M
706,PVBC,"Provident Bancorp, Inc.",185.07M,0.05%,50044,50.24M
707,ESSA,"ESSA Bancorp, Inc.",184.51M,-1.14%,13658,66.35M
708,ISTR,Investar Holding Corporation,183.84M,-0.43%,18285,88.89M
709,SIEB,Siebert Financial Corp.,183.46M,6.32%,161241,92.06M
710,FXNC,First National Corporation,183.24M,-0.54%,12531,64.23M
711,OPBK,OP Bancorp,183.22M,-3.06%,87569,81.36M
712,FSFG,"First Savings Financial Group, Inc.",182.42M,-2.49%,26174,75.84M
713,BLFY,Blue Foundry Bancorp,182.00M,-1.13%,33941,41.23M
714,FCCO,First Community Corporation,178.60M,-1.06%,32028,67.93M
715,SPKL,Spark I Acquisition Corporation,178.18M,-0.18%,844,-
716,WLAC,Willow Lane Acquisition Corp.,175.55M,-,84,-
717,CBNA,"Chain Bridge Bancorp, Inc.",175.20M,-1.26%,11441,57.09M
718,SWKH,SWK Holdings Corporation,173.49M,-,15825,34.91M
719,FRAF,Franklin Financial Services Corporation,171.87M,-,9151,71.31M
720,FRGE,"Forge Global Holdings, Inc.",169.51M,-0.79%,80258,85.38M
721,LARK,"Landmark Bancorp, Inc.",169.04M,-0.20%,6849,60.80M
722,OXSQ,Oxford Square Capital Corp.,168.44M,0.43%,407990,42.17M
723,NKSH,"National Bankshares, Inc.",168.24M,1.89%,23237,46.21M
724,BVFL,"BV Financial, Inc.",165.80M,-0.64%,20099,38.26M
725,FGMC,FG Merger II Corp.,165.28M,-,70,-
726,HNVR,"Hanover Bancorp, Inc.",164.90M,-0.09%,24663,65.04M
727,EFSI,"Eagle Financial Services, Inc.",164.32M,1.14%,16015,58.07M
728,IBAC,IB Acquisition Corp.,164.18M,-,2640,-
729,FCAP,"First Capital, Inc.",163.41M,-0.40%,5681,42.87M
730,OVBC,Ohio Valley Banc Corp.,163.24M,-2.17%,6227,61.74M
