,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
205,SKYW,"SkyWest, Inc.",3.96B,-0.81%,162895,3.67B
206,TNET,"TriNet Group, Inc.",3.93B,-0.78%,225714,5.00B
207,EXPO,"Exponent, Inc.",3.87B,-1.58%,184953,518.72M
208,FELE,"Franklin Electric Co., Inc.",3.86B,-1.92%,181834,2.02B
209,GVA,Granite Construction Incorporated,3.85B,2.18%,515734,4.03B
210,MWA,"Mueller Water Products, Inc.",3.85B,0.61%,1014758,1.37B
211,CBZ,"CBIZ, Inc.",3.85B,-0.44%,309555,2.16B
212,PRIM,Primoris Services Corporation,3.84B,1.95%,792946,6.60B
213,GEO,"The GEO Group, Inc.",3.72B,-0.92%,1550055,2.42B
214,NPO,Enpro Inc.,3.70B,-1.70%,70260,1.06B
215,KAI,Kadant Inc.,3.59B,-1.25%,113819,1.04B
216,HRI,Herc Holdings Inc.,3.58B,-1.67%,279867,3.63B
217,MATX,"Matson, Inc.",3.56B,-1.44%,241184,3.48B
218,MDU,"MDU Resources Group, Inc.",3.49B,1.01%,890677,1.84B
219,KFY,Korn Ferry,3.49B,-0.98%,252687,2.71B
220,BCO,The Brink's Company,3.46B,-1.22%,272099,5.02B
221,HEES,"H&E Equipment Services, Inc.",3.43B,-0.28%,247793,1.46B
222,CAAP,Corporación América Airports S.A.,3.41B,-2.53%,260353,1.86B
223,UNF,UniFirst Corporation,3.41B,-0.66%,52559,2.45B
224,BRC,Brady Corporation,3.25B,-1.53%,166295,1.46B
225,OTTR,Otter Tail Corporation,3.19B,-0.68%,133539,1.32B
226,ABM,ABM Industries Incorporated,3.18B,-0.58%,284050,8.40B
227,GFF,Griffon Corporation,3.16B,-0.64%,314447,2.55B
228,ENS,EnerSys,3.15B,-1.28%,701356,3.62B
229,ATMU,Atmus Filtration Technologies Inc.,3.02B,-0.33%,2283660,1.66B
230,ATS,ATS Corporation,3.01B,-0.93%,85683,1.91B
231,CXT,"Crane NXT, Co.",2.98B,-0.50%,266601,1.50B
232,REZI,"Resideo Technologies, Inc.",2.95B,-1.44%,693023,7.05B
233,HAYW,"Hayward Holdings, Inc.",2.94B,-0.95%,946760,1.07B
234,FA,First Advantage Corporation,2.93B,-3.21%,713100,1.05B
235,TEX,Terex Corporation,2.93B,-2.68%,649265,5.06B
236,ECG,"Everus Construction Group, Inc.",2.89B,-1.20%,365476,3.05B
237,WOR,"Worthington Enterprises, Inc.",2.87B,-0.48%,155747,1.15B
238,GMS,GMS Inc.,2.83B,-0.16%,335730,5.59B
239,MRCY,"Mercury Systems, Inc.",2.82B,0.62%,318702,887.48M
240,MGRC,McGrath RentCorp,2.79B,-1.43%,79702,918.53M
241,AGX,"Argan, Inc.",2.77B,3.19%,369128,874.18M
242,AZZ,AZZ Inc.,2.66B,-0.69%,194421,1.58B
243,HAFN,Hafnia Limited,2.62B,-1.91%,1127774,2.63B
