,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
225,ONTO,Onto Innovation Inc.,4.50B,-2.96%,1483336,1.03B
226,GLOB,Globant S.A.,4.43B,-4.51%,850627,2.46B
227,INTA,"Intapp, Inc.",4.42B,-3.24%,724978,483.46M
228,NOVT,Novanta Inc.,4.32B,-1.26%,344006,951.70M
229,FRSH,Freshworks Inc.,4.25B,-1.44%,2877080,751.55M
230,NSIT,"Insight Enterprises, Inc.",4.22B,-0.93%,187039,8.43B
231,BDC,Belden Inc.,4.19B,-1.95%,166602,2.55B
232,AVT,"Avnet, Inc.",4.17B,-0.90%,452245,22.15B
233,CLBT,Cellebrite DI Ltd.,4.12B,2.99%,1554644,419.17M
234,ASAN,"Asana, Inc.",4.11B,-1.30%,1411810,723.88M
235,RGTI,"Rigetti Computing, Inc.",4.07B,1.15%,107967844,9.21M
236,SLAB,Silicon Laboratories Inc.,3.96B,-0.85%,265583,655.73M
237,TENB,"Tenable Holdings, Inc.",3.90B,-0.37%,824357,923.20M
238,ODD,Oddity Tech Ltd.,3.89B,1.55%,907797,703.49M
239,SOUN,"SoundHound AI, Inc.",3.85B,0.31%,21392966,102.23M
240,OSIS,"OSI Systems, Inc.",3.82B,-0.25%,115768,1.69B
241,WK,Workiva Inc.,3.74B,-0.53%,444749,769.29M
242,VRRM,Verra Mobility Corporation,3.74B,-1.26%,627597,892.73M
243,AVPT,"AvePoint, Inc.",3.70B,0.66%,929298,349.01M
244,ST,Sensata Technologies Holding plc,3.69B,-1.33%,1908088,3.84B
245,BRZE,"Braze, Inc.",3.64B,-0.37%,741269,593.41M
246,STNE,StoneCo Ltd.,3.61B,-1.78%,5161875,2.31B
247,CNXC,Concentrix Corporation,3.56B,-0.87%,352681,9.59B
248,PLXS,Plexus Corp.,3.51B,-0.35%,99560,3.97B
249,BL,"BlackLine, Inc.",3.38B,-0.55%,500484,662.81M
250,KC,Kingsoft Cloud Holdings Limited,3.29B,-2.57%,1959448,1.07B
251,PI,"Impinj, Inc.",3.25B,-2.79%,415504,363.54M
252,SMTC,Semtech Corporation,3.23B,-1.35%,1648959,909.29M
253,DLO,DLocal Limited,3.22B,-3.51%,648674,778.30M
254,YOU,"Clear Secure, Inc.",3.19B,-5.70%,2563685,802.81M
255,CORZ,"Core Scientific, Inc.",3.18B,-1.39%,7497306,410.91M
256,GTM,ZoomInfo Technologies Inc.,3.12B,-0.73%,2795901,1.21B
257,ZETA,Zeta Global Holdings Corp.,3.08B,-1.36%,2589217,1.08B
258,CALX,"Calix, Inc.",3.03B,-0.11%,497170,825.45M
259,NCNO,"nCino, Inc.",3.03B,-1.50%,2954259,540.66M
260,AI,"C3.ai, Inc.",3.02B,-0.04%,4022206,366.92M
261,ALKT,"Alkami Technology, Inc.",2.99B,-0.65%,623537,355.56M
262,LPL,"LG Display Co., Ltd.",2.99B,-,110975,18.62B
263,CAMT,Camtek Ltd.,2.96B,-0.02%,286107,450.86M
264,BLKB,"Blackbaud, Inc.",2.92B,-0.91%,137841,1.15B
265,TTMI,"TTM Technologies, Inc.",2.91B,-1.55%,530846,2.52B
266,ALIT,"Alight, Inc.",2.85B,-2.36%,7724358,2.32B
267,BTDR,Bitdeer Technologies Group,2.84B,-4.11%,3112791,300.40M
268,AGYS,"Agilysys, Inc.",2.82B,-1.05%,300465,275.62M
269,ALRM,"Alarm.com Holdings, Inc.",2.81B,-0.70%,227292,955.37M
270,POWI,"Power Integrations, Inc.",2.81B,-1.29%,445421,432.81M
271,CLVT,Clarivate Plc,2.79B,-2.63%,4503271,2.53B
272,IPGP,IPG Photonics Corporation,2.75B,-1.36%,318454,952.92M
273,DXC,DXC Technology Company,2.67B,-2.77%,1431005,12.87B
274,PAR,PAR Technology Corporation,2.67B,-0.66%,228070,383.77M
275,AMBA,"Ambarella, Inc.",2.64B,-1.63%,478949,284.87M
276,PRGS,Progress Software Corporation,2.63B,-0.34%,344791,806.74M
277,DAVE,Dave Inc.,2.62B,-0.77%,262387,381.43M
278,WRD,WeRide Inc.,2.59B,-9.62%,17286807,49.94M
279,PAGS,PagSeguro Digital Ltd.,2.58B,-2.37%,8059232,3.29B
280,DOCN,"DigitalOcean Holdings, Inc.",2.55B,-3.91%,1569452,806.59M
281,WNS,WNS (Holdings) Limited,2.52B,2.34%,2230013,1.31B
282,PAYO,Payoneer Global Inc.,2.46B,-0.87%,1819601,996.15M
283,MQ,"Marqeta, Inc.",2.37B,-2.50%,12095489,528.10M
284,ASGN,ASGN Incorporated,2.35B,-1.22%,397234,4.02B
285,FORM,"FormFactor, Inc.",2.34B,-1.33%,582944,766.23M
286,RNG,"RingCentral, Inc.",2.33B,-2.34%,647304,2.43B
287,EVTC,"EVERTEC, Inc.",2.31B,-1.97%,300330,868.96M
288,APPN,Appian Corporation,2.28B,-2.26%,353904,633.61M
289,SYNA,Synaptics Incorporated,2.27B,-3.03%,279664,1.04B
290,BB,BlackBerry Limited,2.25B,-2.84%,13654758,534.90M
291,SIMO,Silicon Motion Technology Corporation,2.16B,-2.04%,444152,780.73M
292,DV,"DoubleVerify Holdings, Inc.",2.13B,-4.51%,1955632,681.13M
293,DIOD,Diodes Incorporated,2.09B,-1.60%,379781,1.34B
