,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
123,MNR,Mach Natural Resources LP,1.60B,-0.88%,203156,941.85M
124,WKC,World Kinect Corporation,1.55B,0.77%,672117,40.67B
125,HP,"Helmerich & Payne, Inc.",1.54B,-1.02%,2405202,3.08B
126,TNK,Teekay Tankers Ltd.,1.54B,2.84%,278725,1.09B
127,AESI,Atlas Energy Solutions Inc.,1.53B,-1.12%,1798568,1.16B
128,DNN,Denison Mines Corp.,1.50B,12.00%,157024323,3.18M
129,SDRL,Seadrill Limited,1.44B,1.10%,470247,1.29B
130,TALO,Talos Energy Inc.,1.42B,0.13%,1447427,2.06B
131,KRP,"Kimbell Royalty Partners, LP",1.41B,0.62%,417932,312.98M
132,DMLP,"Dorchester Minerals, L.P.",1.31B,-1.39%,174365,166.82M
133,BTE,Baytex Energy Corp.,1.27B,1.86%,52044118,2.33B
134,NRP,Natural Resource Partners L.P.,1.27B,2.07%,6508,229.91M
135,FLNG,FLEX LNG Ltd.,1.24B,1.33%,416657,354.55M
136,HPK,"HighPeak Energy, Inc.",1.18B,2.74%,282410,1.04B
137,DK,"Delek US Holdings, Inc.",1.18B,-1.22%,1504082,11.37B
138,UUUU,Energy Fuels Inc.,1.16B,20.00%,33168696,69.59M
139,PARR,"Par Pacific Holdings, Inc.",1.13B,1.77%,1626781,7.74B
140,DEC,Diversified Energy Company PLC,1.11B,1.01%,281364,758.80M
141,MRC,MRC Global Inc.,1.07B,0.41%,354161,2.95B
142,INR,"Infinity Natural Resources, Inc.",1.05B,-2.66%,233878,293.96M
143,ACDC,ProFrac Holding Corp.,1.04B,-2.85%,963841,2.21B
144,VET,Vermilion Energy Inc.,984.58M,-,1743206,1.30B
145,RES,"RPC, Inc.",980.28M,-0.22%,918806,1.37B
146,WTTR,"Select Water Solutions, Inc.",978.55M,0.87%,642623,1.46B
147,INVX,"Innovex International, Inc.",971.91M,0.07%,340811,773.22M
148,NVGS,Navigator Holdings Ltd.,969.40M,2.19%,360268,583.93M
149,SBR,Sabine Royalty Trust,965.30M,-0.27%,9846,81.76M
150,HLX,"Helix Energy Solutions Group, Inc.",930.40M,-0.65%,951200,1.34B
151,LPG,Dorian LPG Ltd.,921.21M,6.68%,1162209,353.34M
152,XPRO,Expro Group Holdings N.V.,905.82M,-0.25%,813217,1.72B
153,EFXT,Enerflex Ltd.,869.76M,2.92%,199443,2.33B
154,CAPL,CrossAmerica Partners LP,859.48M,0.22%,15203,3.69B
155,TXO,"TXO Partners, L.P.",838.20M,-,200900,299.70M
156,VTOL,Bristow Group Inc.,833.62M,0.94%,278205,1.43B
157,VTS,"Vitesse Energy, Inc.",804.32M,-0.24%,177143,225.50M
158,KOS,Kosmos Energy Ltd.,779.15M,3.16%,9438496,1.55B
159,NFE,New Fortress Energy Inc.,762.22M,-0.89%,6174876,2.13B
160,HNRG,Hallador Energy Company,749.93M,-7.33%,2099028,410.61M
161,GRNT,"Granite Ridge Resources, Inc.",726.37M,0.73%,241782,390.67M
162,TK,Teekay Corporation Ltd.,696.06M,1.71%,566493,1.09B
163,NPKI,NPK International Inc.,688.01M,2.26%,718878,233.30M
164,ANNA,"AleAnna, Inc.",675.21M,-3.15%,11954,2.06M
165,PUMP,ProPetro Holding Corp.,579.82M,-0.71%,1678596,1.40B
166,PDS,Precision Drilling Corporation,570.24M,2.80%,56452,1.30B
167,NAT,Nordic American Tankers Limited,565.37M,2.69%,2606273,349.74M
168,REPX,"Riley Exploration Permian, Inc.",563.13M,-0.31%,110128,412.89M
169,NESR,National Energy Services Reunited Corp.,561.87M,-5.64%,582002,1.30B
